Latitude,Longitude
32.996708,35.680292
32.996696,35.680316
32.996317,35.681455
32.996295,35.68152
32.9962,35.6817
32.996245,35.681686
32.996196,35.681855
32.996048,35.682427
32.995673,35.683574
32.995092,35.683488
32.994887,35.683465
32.994694,35.683437
32.994572,35.683405
32.994529,35.683392
32.994436,35.683364
32.99431,35.683314
32.994213,35.683276
32.993972,35.683145
32.994,35.6831
32.993783,35.68301
32.993591,35.68283
32.993419,35.682657
32.993266,35.682496
32.993206,35.68241
32.99307,35.682214
32.992811,35.681725
32.992543,35.681227
32.992559,35.681212
32.992572,35.681195
32.992579,35.681182
32.992585,35.681167
32.99259,35.681145
32.992593,35.681121
32.992591,35.681097
32.992586,35.681074
32.992581,35.68106
32.992577,35.681052
32.99257,35.68104
32.992562,35.681028
32.992547,35.681013
32.99253,35.681002
32.992517,35.680996
32.992505,35.680993
32.992485,35.680991
32.992472,35.680993
32.992459,35.680996
32.992441,35.681005
32.99243,35.681012
32.992424,35.681018
32.992415,35.681027
32.992406,35.681039
32.992395,35.681059
32.992388,35.681081
32.992384,35.681104
32.992383,35.681128
32.992387,35.681151
32.992393,35.681173
32.9924,35.681187
32.992405,35.681196
32.992231,35.681355
32.992008,35.681585
32.9918,35.6817
32.991669,35.681935
32.991458,35.682215
32.991346,35.682365
32.991065,35.682824
32.990789,35.683308
32.9905,35.6838
32.990421,35.684109
32.990418,35.684117
32.990293,35.684577
32.990077,35.685253
32.989988,35.685505
32.989968,35.685517
32.989955,35.685529
32.989944,35.685543
32.989938,35.68555
32.989927,35.685569
32.989918,35.685592
32.989913,35.685611
32.989911,35.685627
32.98991,35.68564
32.98991,35.685659
32.989912,35.685678
32.989914,35.685688
32.989919,35.685706
32.989926,35.685724
32.989937,35.685743
32.989686,35.686915
32.989306,35.688542
32.98929,35.688548
32.989254,35.688579
32.98923,35.688624
32.989227,35.688645
32.989222,35.688676
32.989228,35.688719
32.989246,35.688758
32.989257,35.688771
32.989273,35.688789
32.9893,35.688806
32.989329,35.688815
